room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
2,1,1,73.18,20,497,3,15,87182,638
2,1,1,48.63,5,481,22,10,101789,495
2,1,1,57.4,7,430,9,9,87108,500
2,1,1,101.78,28,825,4,10,52957,539
3,1,2,185.93,22,274,7,15,55397,1030
4,1,1,76.01,5,549,5,12,113143,860
2,1,1,81.16,21,839,6,8,50394,409
1,1,1,42.28,6,900,7,10,75686,320
2,1,1,81.1,6,,25,13,20345,165
1,0,0,55.91,22,511,0,0,65999,369
2,1,1,87.49,24,565,2,0,49148,430
1,1,1,44,6,267,7,1,68182,300
2,1,1,63.69,11,663,2,0,73795,470
2,1,1,61.16,5,304,6,1,45782,280
3,1,1,90.79,6,582,2,0,34695,315
2,1,1,65.5,18,703,0,0,65649,430
3,1,1,92.28,7,,2,1,68270,630
3,1,1,86.15,20,719,0,0,127684,1100
1,1,1,50.91,24,1106,1,0,52642,268
3,2,1,98.7,22,,0,0,39007,385
1,1,1,99.64,27,570,0,0,59213,590
3,1,1,71.18,18,714,6,11,71368,508
1,1,1,40.35,6,1293,3,9,121437,490
3,2,2,94.57,6,614,1,10,48641,460
2,2,1,89.99,6,521,1,10,50006,450
2,1,1,58.1,6,625,9,13,70568,410
3,1,1,107.69,19,715,0,13,78466,845
3,1,1,79.21,18,296,5,12,88373,700
2,2,1,96.65,14,583,4,11,62080,600
2,1,1,87.4,24,835,4,15,96110,840
1,1,1,42.92,6,900,10,10,67102,288
2,1,1,60.2,6,441,3,9,124252,748
1,1,1,70.51,6,1218,34,8,33754,238
2,1,1,52.13,6,496,8,13,61001,318
2,1,1,54.26,6,1437,10,16,24512,133
4,2,2,183.51,19,410,5,13,54493,1000
2,1,1,70.63,11,663,12,16,69376,490
2,2,1,81.78,31,,4,14,40964,335
1,1,1,54.41,17,510,4,10,68921,375
1,1,1,50.33,32,946,0,0,63580,320
2,1,1,104.46,30,1196,0,0,67011,700
1,1,1,46.2,9,595,1,0,86580,400
1,1,1,40.21,20,712,1,0,66650,268
2,1,1,58.25,18,818,1,0,87210,508
3,1,1,85.46,6,966,3,0,62719,536
2,1,1,60.2,8,1068,0,0,81395,490
2,1,1,56.24,5,502,1,0,76458,430
2,1,1,55.95,12,840,0,0,104736,586
2,1,1,63.04,4,1189,1,0,78046,492
1,1,1,39.31,12,679,1,0,61053,240
1,1,1,87.33,24,521,0,0,66415,580
3,2,2,142.34,18,1367,0,0,44611,635
3,1,1,104.85,6,,2,0,29566,310
2,2,1,98.75,13,302,0,2,71899,710
