room,hall,bathroom,size,floor,subway_distance,attention,visit,unit_price,price
3,1,1,57.5,5,518,8,30,90435,520
2,1,1,51.8,12,357,3,16,92664,480
2,1,1,59.94,8,781,13,28,40040,240
2,1,1,92.03,14,1113,4,18,66065,608
2,1,1,73.39,19,,5,21,37607,276
2,1,1,89.53,22,785,10,18,25131,225
2,1,1,60.4,6,419,2,20,85762,518
2,1,1,89.58,7,1409,0,19,42978,385
5,3,3,157.57,9,424,1,14,88849,1400
2,1,1,53.81,6,705,9,20,72106,388
3,1,1,91.49,11,,4,23,36944,338
2,1,1,57.65,7,770,15,18,100607,580
2,1,1,85.61,15,,8,34,26866,230
1,1,1,81.29,25,566,0,1,93492,760
2,1,1,80.76,6,,0,1,40243,325
2,1,1,59.56,6,992,2,1,58428,348
2,1,1,57.6,16,162,0,1,73958,426
2,1,1,61.03,21,648,0,1,114698,700
2,1,1,46.85,5,444,0,1,50160,235
2,1,1,60.23,7,872,1,1,40677,245
1,1,1,55.27,7,1162,1,1,52470,290
3,1,1,78.29,5,520,0,1,104739,820
2,2,2,94.75,24,352,0,1,80000,758
1,1,1,34.74,7,401,3,2,77720,270
1,1,1,60.1,15,359,0,1,69052,415
2,1,1,57.13,21,916,1,4,64064,366
1,1,1,51.91,31,605,0,1,104989,545
2,2,1,91.69,6,459,1,4,41989,385
1,1,1,71.36,21,847,0,1,60258,430
2,1,1,62.1,9,367,0,7,95008,590
2,1,1,89.05,6,1002,0,2,43571,388
2,1,1,113.33,22,1036,0,2,107650,1220
1,1,1,37.79,12,590,1,2,68272,258
3,2,1,92.18,6,,0,1,70514,650
2,1,1,74.5,20,784,0,4,88591,660
3,1,2,112.42,11,1329,2,3,74720,840
2,1,1,58.3,6,540,5,8,59177,345
2,1,1,95.95,23,711,0,1,42731,410
2,1,1,48.87,4,609,2,1,87989,430
2,2,1,89.17,22,,0,2,58876,525
1,1,1,46.8,7,,3,2,91667,429
3,1,1,116.38,6,748,0,1,49837,580
2,1,1,65.36,14,746,0,2,65789,430
3,2,2,241.66,17,510,0,1,115865,2800
2,1,1,62.97,16,1300,0,1,44466,280
3,1,1,81.2,16,1151,1,4,147783,1200
2,1,1,44.37,6,199,3,3,51837,230
2,1,1,80.07,6,,1,4,36218,290
3,1,1,98.09,6,599,0,5,122337,1200
1,1,1,59.34,20,971,1,1,48028,285
4,1,1,76.05,6,317,2,4,105194,800
2,1,1,70.51,6,463,1,2,115586,815
3,2,2,144.13,31,500,0,1,49955,720
1,1,1,51.4,12,843,0,3,62257,320
2,2,1,94.47,20,105,0,10,22759,215
2,1,1,87.1,6,550,1,28,32032,279
3,1,1,64.73,16,841,5,35,64885,420
2,1,1,53.64,5,691,13,30,33184,178
2,1,1,95.79,6,296,3,24,30275,290
1,1,1,57.39,6,,10,17,27879,160
3,2,1,99.39,24,735,1,21,51313,510
1,1,1,39.92,15,910,16,20,47094,188
2,1,1,81.22,20,1306,2,28,43955,357
2,2,1,99.77,24,646,10,18,93214,930
3,1,1,89.72,15,1084,3,18,38453,345
3,1,1,90.39,21,,0,1,49784,450
3,2,2,177.36,24,314,0,5,56382,1000
1,1,1,50.7,18,,3,1,69034,350
2,1,1,92.16,29,893,0,6,54470,502
2,2,2,90.15,6,,1,3,38270,345
2,1,1,77.55,15,1044,0,2,52482,407
2,1,1,91.69,6,459,0,1,41989,385
2,1,1,78.3,25,855,0,5,43423,340
2,1,1,62.51,6,481,2,2,99184,620
4,1,2,167,10,277,0,1,117844,1968
2,1,1,59.3,6,575,1,6,109612,650
3,1,2,123.03,24,406,0,2,60961,750
2,1,1,67.76,6,671,1,1,40584,275
1,1,1,52.19,11,756,0,2,46944,245
