direct,actor,date,long,type,rate,comment_sum,name,money,year,country
乔·沃茨,汤姆·赫兰德,2017-09-08,133.0,动作 ,7.3,237846.0,蜘蛛侠：英雄归来,77414,2017,usa
彼得·杰克逊,马丁·弗瑞曼,2015-01-23,144.0,动作 ,8.3,219429.0,霍比特人3：五军之战,76650,2015,usa
克里斯托弗·诺兰,马修·麦康纳,2014-11-12,169.0,剧情 ,9.2,651783.0,星际穿越,75533,2014,usa
沙恩·布莱克,小罗伯特·唐尼,2013-05-01,134.0,动作 ,7.7,258938.0,钢铁侠3,75487,2013,usa
斯科特·德瑞克森,本尼迪克特·康伯巴奇,2016-11-04,115.0,动作 ,7.6,326069.0,奇异博士,75170,2016,usa
马特·里夫斯,安迪·瑟金斯,2017-09-15,140.0,剧情 ,6.8,140669.0,猩球崛起3：终极之战,73978,2017,usa
塔伊加·维迪提,克里斯·海姆斯沃斯,2017-11-03,130.0,动作 ,7.4,231249.0,雷神3：诸神黄昏,74303,2017,usa
詹姆斯·曼高德,休·杰克曼,2017-03-03,123.0,剧情 ,8.3,279481.0,金刚狼3：殊死一战,73163,2017,usa
安东尼·罗素 ,克里斯·埃文斯,2014-04-04,136.0,动作 ,7.9,265859.0,美国队长2：冬日战士,71853,2014,usa
布莱恩·辛格,休·杰克曼,2014-05-23,131.0,动作 ,8.2,291974.0,X战警：逆转未来,72297,2014,usa
阿兰·泰勒,阿诺·施瓦辛格,2015-08-23,126.0,动作 ,6.9,99035.0,终结者：创世纪,72536,2015,usa
马特·里夫斯,安迪·瑟金斯,2014-08-29,130.0,剧情 ,7.5,185471.0,猩球崛起2：黎明之战,70923,2014,usa
扎克·施奈德,本·阿弗莱克,2017-11-17,120.0,动作 ,6.5,176300.0,正义联盟,69011,2017,usa
